Word,Count
dear?,3
anyone,3
"call?""",3
"""no",3
thank,3
"you,",8
madam.,3
"lost,",3
"wandering""",3
round,16
hometown,12
memories,17
fresh,6
ooh,22
people,15
wonders,24
city,6
thick,3
opaque,3
everybody,18
short,5
"skirts,",3
shorts,3
shades,29
two,8
worlds,6
collide,4
government,3
different,15
sides,5
shows,15
gonna,93
stand,35
shit,8
united,6
take,88
"(doo-da-da-da-da-da-da-da-dah,",3
"doo-da-da-da-da-da-da-da-dah,",3
doo-doo-doo-doo,3
ooh-ooh,3
"yeah,",11
yeah-ey),3
used,11
goodnight,3
tight,3
seem,11
care,9
door,20
"oh,",34
honey,11
fair,3
quit,15
movin',15
date,3
showed,3
late,5
hair,3
place,10
somebody,9
smeared,6
lipstick,3
oooohhhh,6
tumble,6
lot,6
cause,29
got,25
kisses,6
fill,8
else,6
gotta,24
hole,3
left,31
hurts,27
bad,5
cuts,9
deepest,4
parts,3
fills,3
hearts,12
break,16
wait,14
grow,14
fonder,14
souls,12
sigh,12
ache,3
ideas,3
ones,8
we'd,3
"made,",3
goes,5
age,5
older,3
"know,",5
they're,6
picture,5
rest,3
imagine,12
painting,10
pictures,10
using,2
filling,10
golden,12
stories,10
adds,2
some,9
spice,2
rhythm,2
welcome,2
sunrise,2
morning,13
glory,5
changed,8
simple,2
heartbeat,2
pressure,2
pushing,2
onto,2
scratch,4
itch,4
beat,10
drum,4
what's,5
riots,2
soul,12
fire,16
burning,5
lighting,2
finish,2
"ahead,",2
smash,2
whatever's,2
"left,",2
shed,2
single,12
sorry,16
wasted,2
everyone,6
agrees,6
old,21
long,16
"comes,",6
thankful,6
its,6
done,26
many,36
ways,6
act,6
"out,",2
kick,2
"scream,",2
shout,2
"are,",2
unkind,2
firm,2
"mind,",12
tip,2
tongue,2
answer,2
ohhhhh,2
cannot,6
"many,",10
ohhhh,4
reaching,6
fever,4
"pitch,",2
bringing,8
crystal,2
clear,2
clean,4
'head,4
sell,4
lay,72
ship,3
explicit,2
piece,10
underestimate,4
pitch,2
scars,10
remind,4
thinking,8
almost,7
breathless,4
(you're,24
me),30
deep,20
(tears,22
"fall,",24
deep),22
played,16
"it,",10
story,8
told,14
heard,20
burn,9
depths,2
despair,4
home,35
mine,6
sure,7
won't,43
shared,2
beating,2
throw,2
(woah),8
count,3
blessings,2
sorrow,4
treasured,2
gold,20
kind,6
reap,2
sow,2
beat.,2
"ooh,",9
"she,",2
she,20
able,2
stranger,2
history,2
remember?,2
"sure,",2
she's,4
really,18
want?,2
bless,4
"soul,",4
clouds,4
"and,",4
"boy,",4
core,7
rumour,66
anymore,20
(rumour),60
half,2
guessing,2
reason,16
telling,2
creep,4
rumours?,2
(bless,2
soul!),2
"melt,",2
leaving,4
whispered,2
ear,2
bear,6
war,2
god,4
knows,10
turning,18
tables,16
thumb,4
breathe,8
"so,",28
rescue,6
desert,6
gave,28
goodbye,8
haunted,2
skies,2
(ooh),2
lost,6
ghost,2
braved,2
hundred,2
"try,",2
knocked,2
"down,",16
whoa,2
next,14
braver,4
savior,4
thunder,2
calls,2
"tables,",2
"turning,",5
again?,14
goodbye.,4
word,12
"said,",14
final,6
seal,4
any,8
sins.,4
idea,6
in.,4
fickle,8
"bitterness,",8
wandering,8
"eye,",8
heaviness,8
head.,8
"remember,",12
remember,40
loved,16
before?,12
more.,8
completely,4
erased,4
memory?,4
often,4
about,15
went,10
wrong.,4
less,5
know.,4
"breathe,",4
kept,4
distance,4
"free,",6
hoped,8
bring,14
me.,8
"more,",2
"fell,",6
rose,2
claim,2
"dark,",4
kissed,2
lips,5
saved,2
"hands,",2
strong,2
falling,5
side,12
"knew,",8
"true,",4
games,4
"win,",4
win,4
set,18
watched,10
pour,6
touched,8
"well,",7
burned,6
screaming,6
"name,",6
name!,4
together,8
threw,4
flames,4
died,4
time!,2
wake,15
by,35
caught,6
must,14
"now,",3
already,10
looking,12
"burn,",2
i\'ll,18
can\'t,22
drags,2
reminded,6
notes,2
clothes,2
you\'ve,2
rise,3
battle\'s,2
won,2
dignity\'s,2
become,2
undone,2
is?,20
willing,22
risk,20
petrified,2
scared,16
step,4
ride,2
fail,2
climb?,2
voice,2
resemblance,2
man,4
vague,2
times,9
we\'ll,4
bursting,3
"seams,",3
apart,23
pieces,3
watch,8
dust,3
ever,40
taint,2
he...,2
he\'s,4
free?,4
choose,4
poison,2
spoke,2
yesterday,4
breath,3
"""i\'ll",2
"soon,",2
"late.""",2
we\'re,2
didn't,4
"best,",2
"had,",2
less?,2
right?,2
down?,2
maybe,12
to—well—having,2
around.,2
tears?,2
road,6
here.,4
(take,8
"it),",4
you.,16
(don't,8
back),8
fool.,8
love.,6
than,28
need.,2
over?,2
it?,2
given,4
easily.,2
this.,2
"on,",8
it),16
must.,2
slow,4
home.,2
adjust.,2
"only,",2
sins,2
"yes,",2
swam,4
waters,2
pushed,2
sky,29
border,2
line,2
"greatest,",2
against,24
miles,12
heavens,8
speechless,10
cleared,4
future,4
ready,38
put,21
pull,8
light,21
child,7
"then,",2
learn,6
(time,4
us),8
(miles,4
"day,",2
taken,3
doubts,8
"scared,",2
"feeling,",4
"word,",4
imagined,4
simply,4
"your,",6
promise,21
worthy,6
chance,12
prove,8
mile,8
starts,6
hang,2
yourself,8
mention,2
feels,12
close?,2
whichever,2
"easy,",14
(nobody's,8
"perfect,",8
trust,9
learned,8
starts.,2
young,30
fun,5
however,12
whatever,12
love...,2
settled,2
married,2
now.,2
came,5
true.,4
guess,4
"friend,",2
shy?,2
hide,4
light.,2
hate,6
uninvited,4
"away,",9
fight,12
it.,4
isn\'t,4
over.,4
forget,8
beg,8
"""sometimes",8
lasts,12
"instead,",4
"instead""",2
flies,2
lives,2
born,2
raised,2
summer,3
haze,2
bound,2
"instead.""",4
compares,2
worries,2
cares,2
regrets,6
mistakes,2
made.,2
bittersweet,2
taste?,2
"instead"".",2
he\'d,2
soon.,2
charm,2
near.,2
"fire,",2
pride,2
all.,2
bomb,2
explosion,8
ticking,2
call.,2
wiser,2
"one,",10
disguised,2
greed.,2
belongs,2
knees.,2
before.,6
beside,14
river,74
down.,4
sight,2
"whisper,",2
"""will",2
"man?""",2
swear,9
you!,4
taking.,2
mistaken.,2
settle,2
ignore,4
right.,2
loves,4
down!,2
woulda,22
hitch,4
hiked,4
birmingham,4
hadn't,40
train,6
louisiana,4
blindin',2
dollar,2
trouble,2
gone,6
wayward,2
wind,2
nobody,6
four,12
walls,10
lying,4
parole,4
lord,4
mercy,4
town,5
took,6
track,2
loaded,4
forty,4
jail,4
house,4
accident,2
blew,6
darkest,2
pain,16
buried,4
disappear,6
spend,10
hiding,10
dropped,2
station,2
wave,4
skyscrapers,2
neon,2
lights,44
papers,2
call,14
woke,2
heavy,2
hearted,2
going,2
started,6
brought,2
calling,5
perfect,2
scattered,2
phone,2
"cause,",2
wonder,6
cross,4
happens,4
quarter,6
after,12
"call,",2
control,4
"without,",6
another,2
shot,4
"whiskey,",2
sweeping,2
drunk,4
yes,2
rather,5
"hello,",6
wondering,2
meet,2
time's,2
heal,10
ya,2
healing,2
california,2
dreaming,2
younger,2
forgotten,2
such,2
difference,2
hello,12
called,6
thousand,9
breaking,8
"matter,",6
clearly,6
doesn't,8
you?,2
typical,2
hope,7
happened?,2
secret,2
(other,4
side),4
(thousand,4
times),4
(outside),4
(i've,4
tried),4
"(highs,",8
"highs,",24
"lows,",24
lows),8
guitar.,2
"ok,",2
cool.,2
none,2
body,6
mmm,8
big,5
jump,2
everlasting,2
forgiven,6
new,17
